# Copyright Blocklist for fhir-dental-de
# Format: pattern|source-reference
# Lines starting with '#' are comments. Blank lines are ignored.
# Patterns are matched case-sensitively via ripgrep/grep.
#
# IMPORTANT: These display strings are copyrighted by their respective publishers.
# Do NOT commit these strings into non-allowlisted paths.

# ============================================================================
# BEMA (KZBV/GKV-Spitzenverband) — MEDIUM risk (GKV Bewertungsmaßstab)
# Source: Bewertungsmaßstab zahnärztlicher Leistungen
# ============================================================================
Eingehende Untersuchung|BEMA-#01
Zuschlag Untersuchung bei FLA|BEMA-#01a
Vitalitätsprüfung|BEMA-#04
Besondere Untersuchung|BEMA-#05
Notfallbehandlung|BEMA-#06
Beratung|BEMA-#07
Sensibilitätsprüfung|BEMA-#08
Lokalanästhesie|BEMA-#09
Leitungsanästhesie|BEMA-#10
Intraligamentäre Anästhesie|BEMA-#11
Kompositfüllung einflächig (Milchzahn)|BEMA-#12
Kompositfüllung einflächig|BEMA-#13a
Kompositfüllung zweiflächig|BEMA-#13b
Kompositfüllung dreiflächig|BEMA-#13c
Kompositfüllung mehr als dreiflächig|BEMA-#13d
Amalgamfüllung einflächig|BEMA-#17
Amalgamfüllung zweiflächig|BEMA-#18
Amalgamfüllung dreiflächig|BEMA-#19
Amalgamfüllung mehr als dreiflächig|BEMA-#20
Zementfüllung|BEMA-#21
Glasionomerfüllung|BEMA-#22
Provisorische Füllung|BEMA-#23
Sedative Einlage|BEMA-#24
Unterfüllung|BEMA-#25
Überkappung direkt|BEMA-#26
Überkappung indirekt|BEMA-#27
Wurzelkanalbehandlung Frontzahn|BEMA-#28
Wurzelkanalbehandlung Prämolar|BEMA-#29
Wurzelkanalbehandlung Molar|BEMA-#30
Wurzelkanalaufbereitung je Kanal|BEMA-#31
Wurzelkanalfüllung je Kanal|BEMA-#32
Replantation|BEMA-#33
Revision Wurzelkanalbehandlung|BEMA-#34
Wurzelspitzenresektion Frontzahn|BEMA-#35
Wurzelspitzenresektion Prämolar|BEMA-#36
Wurzelspitzenresektion Molar|BEMA-#37
Stiftverankerung|BEMA-#38
Aufbaufüllung|BEMA-#39
Inzision|BEMA-#40
Trepanation|BEMA-#41
Alveolitis-Behandlung|BEMA-#42
Wundbehandlung|BEMA-#43
Extraktion|BEMA-#44
Operative Zahnentfernung|BEMA-#45
Osteotomie|BEMA-#46
Stillung einer Blutung|BEMA-#47
Wundrevision|BEMA-#48
Naht|BEMA-#49
Nahtentfernung|BEMA-#50
Lappenbildung|BEMA-#51
Zystenoperation|BEMA-#52
PAR-Vorbehandlung|BEMA-#100
PSI-Screening|BEMA-#101
Parodontalstatus|BEMA-#102
Subgingivale Instrumentierung je Zahn|BEMA-#103
Parodontalchirurgie|BEMA-#104
Lappenoperation|BEMA-#105
Gingivektomie je Zahn|BEMA-#106
Subgingivale Instrumentierung je Zahn (PAR-Richtlinie)|BEMA-#107
Instrumentierung Frontzahn|BEMA-#107a
Instrumentierung Seitenzahn|BEMA-#107b
Nachsorge parodontal|BEMA-#108
Früherkennungsuntersuchung 6-9 Monate|BEMA-#FU1
Früherkennungsuntersuchung 10-20 Monate|BEMA-#FU2
Früherkennungsuntersuchung 21-33 Monate|BEMA-#FU3
Früherkennungsuntersuchung 34-48 Monate|BEMA-#FU4
Früherkennungsuntersuchung 49-60 Monate|BEMA-#FU5
Früherkennungsuntersuchung 61-72 Monate|BEMA-#FU6
Früherkennungsuntersuchung Kleinkind|BEMA-#FU7
Früherkennungsuntersuchung Vorschulkind|BEMA-#FU8
Früherkennungsuntersuchung Schulkind|BEMA-#FU9
Mundhygienestatus|BEMA-#IP1
Aufklärung Mundhygiene|BEMA-#IP2
Mundgesundheitserziehung|BEMA-#IP3
Fluoridierung|BEMA-#IP4
Fissurenversiegelung|BEMA-#IP5
Intensivprophylaxe|BEMA-#IP6
